task_id;task_type;total_time;time_holding;num_errors;total_objects;visual_evaluation;eval_id
0;ShoppingTask;223.218994;;0;5;None;1
1;PairMatchingTask;101.510002;0;6;None;1
2;LayTableTask;295.949005;;1;7;9;1
3;ShoppingTask;98.919998;None;1;5;None;2
4;PairMatchingTask;271.298004;None;21;6;None;2
5;LayTableTask;177.453003;None;3;7;None;2
6;ShoppingTask;208.651001;None;2;5;None;3
7;PairMatchingTask;78.450996;None;4;6;None;3
8;LayTableTask;246.710007;None;0;7;None;3
10;ShoppingTask;165.238007;None;0;5;None;4
11;PairMatchingTask;125.391998;None;5;6;None;4
12;LayTableTask;142.662994;None;0;7;9;4
13;ShoppingTask;339.824005;None;1;5;None;5
14;ShoppingTask;123.195;None;1;5;None;6
15;PairMatchingTask;86.639999;None;6;6;None;6
16;LayTableTask;118.116997;None;2;7;None;6
17;ShoppingTask;141.386002;None;3;5;None;7
18;PairMatchingTask;110.445999;None;8;6;None;7
19;ShoppingTask;50.887001;None;0;5;None;8
20;PairMatchingTask;101.012001;None;9;6;None;8
21;PairMatchingTask;138.369003;None;3;6;None;5
22;LayTableTask;149.136993;None;0;7;None;5
23;ShoppingTask;50.936001;None;2;5;None;9
24;ShoppingTask;303.490997;None;3;5;None;10
25;PairMatchingTask;145.600998;None;10;6;None;10
26;ShoppingTask;68.362999;None;0;5;None;11
27;PairMatchingTask;71.100998;None;3;6;None;11
28;ShoppingTask;105.815002;None;1;5;None;12
29;PairMatchingTask;78.517998;None;3;6;None;12
30;LayTableTask;190.345001;None;2;7;7;12
31;ShoppingTask;149.572998;None;2;5;None;13
32;PairMatchingTask;109.582001;None;4;6;None;13
33;LayTableTask;181.815994;None;0;7;None;13
34;ShoppingTask;188.393005;None;0;5;None;14
36;PairMatchingTask;101.973;None;3;6;None;14
37;LayTableTask;117.720001;None;0;7;None;14
38;PairMatchingTask;18.236;None;3;6;None;9
39;LayTableTask;106.170998;None;0;7;9;9
40;ShoppingTask;372.489014;None;5;5;None;15
41;PairMatchingTask;133.871002;None;10;6;None;15
42;LayTableTask;133.492004;None;0;7;8;15
43;ShoppingTask;273.92099;None;0;5;None;16
44;PairMatchingTask;135.302002;None;3;6;None;16
45;LayTableTask;203.940002;None;3;7;7;16
46;ShoppingTask;85.848;None;4;5;None;17
47;PairMatchingTask;113.416;None;6;6;None;17
48;LayTableTask;105.123001;None;0;7;9;17
50;ShoppingTask;45.888;None;1;5;None;18
51;PairMatchingTask;71.135002;None;4;6;None;18
52;LayTableTask;43.477001;None;0;7;8;18
53;ShoppingTask;162.639999;None;0;5;None;19
54;PairMatchingTask;37.035;None;3;6;None;19
55;LayTableTask;98.199997;None;1;7;7;19
56;ShoppingTask;127.695;None;1;5;visual_evaluation;20
57;PairMatchingTask;70.875999;None;9;6;visual_evaluation;20
58;LayTableTask;202.839005;None;0;7;visual_evaluation;20
59;ShoppingTask;65.151001;None;0;5;visual_evaluation;21
60;PairMatchingTask;107.587997;None;3;6;visual_evaluation;21
61;LayTableTask;198.625;None;0;7;visual_evaluation;21
62;ShoppingTask;171.123001;None;3;5;visual_evaluation;100
64;ShoppingTask;78.617996;None;4;5;visual_evaluation;101
66;PairMatchingTask;104.342003;None;18;6;visual_evaluation;100
67;PairMatchingTask;188.054001;None;10;6;visual_evaluation;101
68;LayTableTask;105.092003;None;3;7;visual_evaluation;100

